27.0 0 -0.3196
26.8 0 -0.4
26.5 0 0.0453
26.2 0 0.4
26.0 0 -0.0326
25.8 0 -0.4
25.5 0 0.032
25.2 0 0.4
25.0 0 -0.032
24.8 0 -0.4
24.5 0 0.032
24.2 0 0.4
24.0 0 -0.032
23.8 0 -0.4
23.5 0 0.0319
23.2 0 0.4
23.0 0 -0.031
22.8 0 -0.4
22.5 0 0.0139
22.2 0 0.4
22.0 0 0.3172
27.0 2 -0.3196
26.8 2 -0.4
26.5 2 0.0453
26.2 2 0.4
26.0 2 -0.0326
25.8 2 -0.4
25.5 2 0.032
25.2 2 0.4
25.0 2 -0.032
24.8 2 -0.4
24.5 2 0.032
24.2 2 0.4
24.0 2 -0.032
23.8 2 -0.4
23.5 2 0.0319
23.2 2 0.4
23.0 2 -0.031
22.8 2 -0.4
22.5 2 0.0139
22.2 2 0.4
22.0 2 0.3172
27.0 4 -0.3196
26.8 4 -0.4
26.5 4 0.0453
26.2 4 0.4
26.0 4 -0.0326
25.8 4 -0.4
25.5 4 0.032
25.2 4 0.4
25.0 4 -0.032
24.8 4 -0.4
24.5 4 0.032
24.2 4 0.4
24.0 4 -0.032
23.8 4 -0.4
23.5 4 0.0319
23.2 4 0.4
23.0 4 -0.031
22.8 4 -0.4
22.5 4 0.0139
22.2 4 0.4
22.0 4 0.3172
27.0 6 -0.3196
26.8 6 -0.4
26.5 6 0.0453
26.2 6 0.4
26.0 6 -0.0326
25.8 6 -0.4
25.5 6 0.032
25.2 6 0.4
25.0 6 -0.032
24.8 6 -0.4
24.5 6 0.032
24.2 6 0.4
24.0 6 -0.032
23.8 6 -0.4
23.5 6 0.0319
23.2 6 0.4
23.0 6 -0.031
22.8 6 -0.4
22.5 6 0.0139
22.2 6 0.4
22.0 6 0.3172
27.0 8 -0.3196
26.8 8 -0.4
26.5 8 0.0453
26.2 8 0.4
26.0 8 -0.0326
25.8 8 -0.4
25.5 8 0.032
25.2 8 0.4
25.0 8 -0.032
24.8 8 -0.4
24.5 8 0.032
24.2 8 0.4
24.0 8 -0.032
23.8 8 -0.4
23.5 8 0.0319
23.2 8 0.4
23.0 8 -0.031
22.8 8 -0.4
22.5 8 0.0139
22.2 8 0.4
22.0 8 0.3172
27.0 10 -0.3196
26.8 10 -0.4
26.5 10 0.0453
26.2 10 0.4
26.0 10 -0.0326
25.8 10 -0.4
25.5 10 0.032
25.2 10 0.4
25.0 10 -0.032
24.8 10 -0.4
24.5 10 0.032
24.2 10 0.4
24.0 10 -0.032
23.8 10 -0.4
23.5 10 0.0319
23.2 10 0.4
23.0 10 -0.031
22.8 10 -0.4
22.5 10 0.0139
22.2 10 0.4
22.0 10 0.3172
27.0 15 -0.3196
26.8 15 -0.4
26.5 15 0.0453
26.2 15 0.4
26.0 15 -0.0326
25.8 15 -0.4
25.5 15 0.032
25.2 15 0.4
25.0 15 -0.032
24.8 15 -0.4
24.5 15 0.032
24.2 15 0.4
24.0 15 -0.032
23.8 15 -0.4
23.5 15 0.0319
23.2 15 0.4
23.0 15 -0.031
22.8 15 -0.4
22.5 15 0.0139
22.2 15 0.4
22.0 15 0.3172
27.0 20 -0.3196
26.8 20 -0.4
26.5 20 0.0453
26.2 20 0.4
26.0 20 -0.0326
25.8 20 -0.4
25.5 20 0.032
25.2 20 0.4
25.0 20 -0.032
24.8 20 -0.4
24.5 20 0.032
24.2 20 0.4
24.0 20 -0.032
23.8 20 -0.4
23.5 20 0.0319
23.2 20 0.4
23.0 20 -0.031
22.8 20 -0.4
22.5 20 0.0139
22.2 20 0.4
22.0 20 0.3172
27.0 25 0.3196
26.8 25 0.4
26.5 25 -0.0453
26.2 25 -0.4
26.0 25 0.0326
25.8 25 0.4
25.5 25 -0.032
25.2 25 -0.4
25.0 25 0.032
24.8 25 0.4
24.5 25 -0.032
24.2 25 -0.4
24.0 25 0.032
23.8 25 0.4
23.5 25 -0.0319
23.2 25 -0.4
23.0 25 0.031
22.8 25 0.4
22.5 25 -0.0139
22.2 25 -0.4
22.0 25 -0.3172
27.0 30 0
26.8 30 0
26.5 30 0
26.2 30 0
26.0 30 0
25.8 30 0
25.5 30 0
25.2 30 0
25.0 30 0
24.8 30 0
24.5 30 0
24.2 30 0
24.0 30 0
23.8 30 0
23.5 30 0
23.2 30 0
23.0 30 0
22.8 30 0
22.5 30 0
22.2 30 0
22.0 30 0
27.0 35 0.3196
26.8 35 0.4
26.5 35 -0.0453
26.2 35 -0.4
26.0 35 0.0326
25.8 35 0.4
25.5 35 -0.032
25.2 35 -0.4
25.0 35 0.032
24.8 35 0.4
24.5 35 -0.032
24.2 35 -0.4
24.0 35 0.032
23.8 35 0.4
23.5 35 -0.0319
23.2 35 -0.4
23.0 35 0.031
22.8 35 0.4
22.5 35 -0.0139
22.2 35 -0.4
22.0 35 -0.3172
27.0 40 0.3196
26.8 40 0.4
26.5 40 -0.0453
26.2 40 -0.4
26.0 40 0.0326
25.8 40 0.4
25.5 40 -0.032
25.2 40 -0.4
25.0 40 0.032
24.8 40 0.4
24.5 40 -0.032
24.2 40 -0.4
24.0 40 0.032
23.8 40 0.4
23.5 40 -0.0319
23.2 40 -0.4
23.0 40 0.031
22.8 40 0.4
22.5 40 -0.0139
22.2 40 -0.4
22.0 40 -0.3172
27.0 45 -0.2397
26.8 45 -0.3
26.5 45 0.034
26.2 45 0.3
26.0 45 -0.0245
25.8 45 -0.3
25.5 45 0.024
25.2 45 0.3
25.0 45 -0.024
24.8 45 -0.3
24.5 45 0.024
24.2 45 0.3
24.0 45 -0.024
23.8 45 -0.3
23.5 45 0.024
23.2 45 0.3
23.0 45 -0.0233
22.8 45 -0.3
22.5 45 0.0104
22.2 45 0.3
22.0 45 0.2379
27.0 50 -0.2397
26.8 50 -0.3
26.5 50 0.034
26.2 50 0.3
26.0 50 -0.0245
25.8 50 -0.3
25.5 50 0.024
25.2 50 0.3
25.0 50 -0.024
24.8 50 -0.3
24.5 50 0.024
24.2 50 0.3
24.0 50 -0.024
23.8 50 -0.3
23.5 50 0.024
23.2 50 0.3
23.0 50 -0.0233
22.8 50 -0.3
22.5 50 0.0104
22.2 50 0.3
22.0 50 0.2379
27.0 55 -0.2397
26.8 55 -0.3
26.5 55 0.034
26.2 55 0.3
26.0 55 -0.0245
25.8 55 -0.3
25.5 55 0.024
25.2 55 0.3
25.0 55 -0.024
24.8 55 -0.3
24.5 55 0.024
24.2 55 0.3
24.0 55 -0.024
23.8 55 -0.3
23.5 55 0.024
23.2 55 0.3
23.0 55 -0.0233
22.8 55 -0.3
22.5 55 0.0104
22.2 55 0.3
22.0 55 0.2379
27.0 60 -0.2397
26.8 60 -0.3
26.5 60 0.034
26.2 60 0.3
26.0 60 -0.0245
