
begin to compute gravity matrix
computing 2434-th point: lon=98.366697 lat=24.122211
computing 46-th point: lon=97.500001 lat=24.852283
computing 4864-th point: lon=99.266698 lat=25.018263
computing 7260-th point: lon=100.133298 lat=24.022661
computing 47-th point: lon=97.500001 lat=24.819129
computing 2435-th point: lon=98.366697 lat=24.088961
computing 4865-th point: lon=99.266698 lat=24.985007
computing 48-th point: lon=97.500001 lat=24.785873
computing 4866-th point: lon=99.266698 lat=24.951853
computing 7261-th point: lon=100.133298 lat=23.989411
computing 2436-th point: lon=98.366697 lat=24.055814
computing 49-th point: lon=97.500001 lat=24.752719
computing 4867-th point: lon=99.266698 lat=24.918693
computing 50-th point: lon=97.500001 lat=24.719565
computing 7262-th point: lon=100.133298 lat=23.956264
computing 4868-th point: lon=99.266698 lat=24.885437
computing 2437-th point: lon=98.366697 lat=24.022661
computing 51-th point: lon=97.500001 lat=24.686309
computing 4869-th point: lon=99.266698 lat=24.852283
computing 52-th point: lon=97.500001 lat=24.653155
computing 7263-th point: lon=100.133298 lat=23.923111
computing 4870-th point: lon=99.266698 lat=24.819129
computing 2438-th point: lon=98.366697 lat=23.989411
computing 53-th point: lon=97.500001 lat=24.620002
computing 4871-th point: lon=99.266698 lat=24.785873
computing 54-th point: lon=97.500001 lat=24.586746
computing 7264-th point: lon=100.133298 lat=23.889861
computing 2439-th point: lon=98.366697 lat=23.956264
computing 4872-th point: lon=99.266698 lat=24.752719
computing 55-th point: lon=97.500001 lat=24.553592
computing 56-th point: lon=97.500001 lat=24.520438
computing 7265-th point: lon=100.133298 lat=23.856714
computing 4873-th point: lon=99.266698 lat=24.719565
computing 2440-th point: lon=98.366697 lat=23.923111
computing 57-th point: lon=97.500001 lat=24.487189
computing 4874-th point: lon=99.266698 lat=24.686309
computing 58-th point: lon=97.500001 lat=24.454035
computing 7266-th point: lon=100.133298 lat=23.823561
computing 2441-th point: lon=98.366697 lat=23.889861
computing 4875-th point: lon=99.266698 lat=24.653155
computing 59-th point: lon=97.500001 lat=24.420881
computing 4876-th point: lon=99.266698 lat=24.620002
computing 7267-th point: lon=100.133298 lat=23.790311
computing 60-th point: lon=97.500001 lat=24.387625
computing 2442-th point: lon=98.366697 lat=23.856714
computing 4877-th point: lon=99.266698 lat=24.586746
computing 61-th point: lon=97.500001 lat=24.354478
computing 4878-th point: lon=99.266698 lat=24.553592
computing 7268-th point: lon=100.133298 lat=23.757164
computing 2443-th point: lon=98.366697 lat=23.823561
computing 62-th point: lon=97.500001 lat=24.321324
computing 4879-th point: lon=99.266698 lat=24.520438
computing 63-th point: lon=97.500001 lat=24.288068
computing 2444-th point: lon=98.366697 lat=23.790311
computing 64-th point: lon=97.500001 lat=24.254921
computing 7269-th point: lon=100.133298 lat=23.724018
computing 4880-th point: lon=99.266698 lat=24.487189
computing 65-th point: lon=97.500001 lat=24.221768
computing 4881-th point: lon=99.266698 lat=24.454035
computing 2445-th point: lon=98.366697 lat=23.757164
computing 7270-th point: lon=100.133298 lat=23.690768
computing 66-th point: lon=97.500001 lat=24.188518
computing 4882-th point: lon=99.266698 lat=24.420881
computing 67-th point: lon=97.500001 lat=24.155364
computing 4883-th point: lon=99.266698 lat=24.387625
computing 2446-th point: lon=98.366697 lat=23.724018
computing 7271-th point: lon=100.133298 lat=23.657614
computing 68-th point: lon=97.500001 lat=24.122211
computing 4884-th point: lon=99.266698 lat=24.354478
computing 69-th point: lon=97.500001 lat=24.088961
computing 4885-th point: lon=99.266698 lat=24.321324
computing 2447-th point: lon=98.366697 lat=23.690768
computing 7272-th point: lon=100.133298 lat=23.624468
computing 70-th point: lon=97.500001 lat=24.055814
computing 4886-th point: lon=99.266698 lat=24.288068
computing 71-th point: lon=97.500001 lat=24.022661
computing 2448-th point: lon=98.366697 lat=23.657614
computing 7273-th point: lon=100.133298 lat=23.591218
computing 4887-th point: lon=99.266698 lat=24.254921
computing 72-th point: lon=97.500001 lat=23.989411
computing 4888-th point: lon=99.266698 lat=24.221768
computing 2449-th point: lon=98.366697 lat=23.624468
computing 7274-th point: lon=100.133298 lat=23.558078
computing 73-th point: lon=97.500001 lat=23.956264
computing 4889-th point: lon=99.266698 lat=24.188518
computing 74-th point: lon=97.500001 lat=23.923111
computing 7275-th point: lon=100.133298 lat=23.524924
computing 4890-th point: lon=99.266698 lat=24.155364
computing 2450-th point: lon=98.366697 lat=23.591218
computing 75-th point: lon=97.500001 lat=23.889861
computing 4891-th point: lon=99.266698 lat=24.122211
computing 76-th point: lon=97.500001 lat=23.856714
computing 4892-th point: lon=99.266698 lat=24.088961
computing 77-th point: lon=97.500001 lat=23.823561
computing 7276-th point: lon=100.133298 lat=23.491682
computing 78-th point: lon=97.500001 lat=23.790311
computing 4893-th point: lon=99.266698 lat=24.055814
computing 2451-th point: lon=98.366697 lat=23.558078
computing 79-th point: lon=97.500001 lat=23.757164
computing 7277-th point: lon=100.133298 lat=23.458535
computing 4894-th point: lon=99.266698 lat=24.022661
computing 2452-th point: lon=98.366697 lat=23.524924
computing 80-th point: lon=97.500001 lat=23.724018
computing 4895-th point: lon=99.266698 lat=23.989411
computing 7278-th point: lon=100.133298 lat=23.425381
computing 81-th point: lon=97.500001 lat=23.690768
computing 4896-th point: lon=99.266698 lat=23.956264
computing 2453-th point: lon=98.366697 lat=23.491682
