100.716109 24.995773
100.734941 24.954878
100.753070 24.932288
100.763581 24.912461
100.770892 24.898703
100.777848 24.886264
100.802865 24.863538
100.824560 24.838536
100.843976 24.817169
100.863338 24.799462
100.878422 24.784332
100.888600 24.772045
100.910708 24.747034
100.933874 24.708560
100.974458 24.658933
101.001109 24.621743
101.018695 24.599116
101.034503 24.576063
101.046729 24.555012
101.063906 24.527492
101.085546 24.494418
101.100387 24.475958
101.117949 24.455117
101.129680 24.436496
101.136707 24.421791
101.166162 24.382675
101.187731 24.354365
101.203915 24.331705
101.224300 24.299216
101.235704 24.283670
101.259648 24.249935
101.280700 24.224862
101.305308 24.197372
101.329901 24.170285
101.359452 24.131426
101.383142 24.103510
101.412638 24.067490
101.434067 24.042806
101.450260 24.023156
101.478277 23.991060
101.508782 23.961813
101.521878 23.948125
101.553091 23.908020
101.566013 23.891815
101.591874 23.855335
101.612406 23.821263
101.624019 23.799757
101.645903 23.757958
101.650389 23.745773
101.668627 23.721042
101.681503 23.706863
101.697504 23.685373
101.714417 23.657376
101.731283 23.637108
101.751257 23.611155
101.777918 23.586399
101.806130 23.566217
101.837943 23.546809
101.857825 23.535339
101.893585 23.514863
101.927144 23.492593
101.965566 23.460973
101.983040 23.449521
102.024003 23.432106
102.058792 23.407384
102.098137 23.383014
102.125503 23.370390
102.154164 23.345134
102.176955 23.326488
102.212756 23.298813
102.253752 23.274131
102.286690 23.252168
102.322816 23.250815
102.357012 23.236455
102.385084 23.224428
102.416748 23.211390
102.452725 23.197338
102.494091 23.182264
102.551259 23.158815
102.585047 23.145069
102.612346 23.130338
102.647854 23.100931
102.680733 23.075843
102.721012 23.049071
102.749660 23.023993
102.769328 23.002278
102.786435 22.973584
102.797731 22.952925
102.808684 22.932846
102.824426 22.906598
102.837650 22.890640
102.859874 22.868904
102.882386 22.849999
102.898811 22.834939
102.932764 22.810465
102.948831 22.797067
102.987771 22.770223
103.016094 22.753408
103.034929 22.741347
103.054187 22.725230
103.074827 22.703138
103.090130 22.680558
103.109955 22.659064
103.121192 22.643063
103.136039 22.629408
103.153084 22.612638
103.172795 22.594936
103.189826 22.582202
>
