119.666666667	21.7152380943	-3000
119.719135801	21.6666666667	-3000
119.75	21.638257578	-3000
119.833333333	21.6277173907	-3000
119.864492754	21.6666666667	-3000
119.916666667	21.6929824551	-3000
119.941460056	21.6666666667	-3000
120	21.5870786517	-3000
120.001904762	21.5833333333	-3000
120	21.5678294574	-3000
119.979460095	21.5	-3000
120	21.4252136753	-3000
120.002070393	21.4166666667	-3000
120	21.3944444433	-3000
119.993209879	21.3333333333	-3000
120	21.3286324789	-3000
120.083333333	21.2644335516	-3000
120.105416665	21.25	-3000
120.166666667	21.2151988645	-3000
120.219069531	21.1666666667	-3000
120.18114241	21.0833333333	-3000
120.25	21.030193237	-3000
120.304112554	21	-3000
120.327071289	20.9166666667	-3000
120.299188157	20.8333333333	-3000
120.333333333	20.7754854361	-3000
120.371405751	20.8333333333	-3000
120.416666667	20.8699397072	-3000
120.445756331	20.8333333333	-3000
120.438866121	20.75	-3000
120.416666667	20.7073490818	-3000
120.360507247	20.6666666667	-3000
120.387038852	20.5833333333	-3000
120.416666667	20.5239030768	-3000
120.429541446	20.5	-3000
120.454982517	20.4166666667	-3000
120.5	20.3733893558	-3000
120.538490285	20.4166666667	-3000
120.583333333	20.4742482404	-3000
120.666666667	20.4604743073	-3000
120.735937501	20.4166666667	-3000
120.75	20.3778735648	-3000
120.754008275	20.3333333333	-3000
120.75	20.2984234244	-3000
120.666666667	20.3160606064	-3000
120.589689265	20.25	-3000
120.628870676	20.1666666667	-3000
120.658780232	20.0833333333	-3000
120.666666667	20.0584577123	-3000
120.7016317	20.0833333333	-3000
120.69489796	20.1666666667	-3000
120.75	20.232520327	-3000
120.771445592	20.1666666667	-3000
120.75550252	20.0833333333	-3000
120.752701934	20	-3000
120.75	19.9934027779	-3000
120.679572976	19.9166666667	-3000
120.677555958	19.8333333333	-3000
120.666666667	19.8085399444	-3000
120.583333333	19.7821711997	-3000
120.530640669	19.75	-3000
120.5	19.6837349385	-3000
120.494643981	19.6666666667	-3000
120.5	19.6486199598	-3000
120.583333333	19.6054750408	-3000
120.611801242	19.5833333333	-3000
120.606850716	19.5	-3000
120.583333333	19.4578754554	-3000
120.5	19.4661383281	-3000
120.416666667	19.4930894307	-3000
120.333333333	19.4254385978	-3000
120.323636363	19.4166666667	-3000
120.314590544	19.3333333333	-3000
120.333333333	19.270348837	-3000
120.374681935	19.3333333333	-3000
120.416666667	19.3549868762	-3000
120.429638365	19.3333333333	-3000
120.418900344	19.25	-3000
120.416666667	19.2487922705	-3000
120.333333333	19.2469244289	-3000
120.254325259	19.1666666667	-3000
120.25	19.1603852597	-3000
120.198979591	19.1666666667	-3000
120.166666667	19.1704636316	-3000
120.11388889	19.1666666667	-3000
120.119850188	19.0833333333	-3000
120.083333333	19.0499429231	-3000
120.019650655	19	-3000
120	18.9771573593	-3000
119.916666667	18.9168152114	-3000
119.916583419	18.9166666667	-3000
119.880330329	18.8333333333	-3000
119.916666667	18.7762039651	-3000
119.940630396	18.75	-3000
119.916666667	18.736417034	-3000
119.868394308	18.6666666667	-3000
119.833333333	18.6153273831	-3000
119.778902953	18.5833333333	-3000
119.75	18.5429917549	-3000
119.719659184	18.5	-3000
119.701009115	18.4166666667	-3000
119.688536306	18.3333333333	-3000
119.666666667	18.2958333343	-3000
119.605794271	18.25	-3000
119.594091201	18.1666666667	-3000
119.583333333	18.1420704847	-3000
119.5	18.1232638905	-3000
119.416666667	18.1021505396	-3000
119.372222222	18.0833333333	-3000
119.333333333	18.0578124995	-3000
119.313202759	18	-3000
119.317179486	17.9166666667	-3000
119.32456696	17.8333333333	-3000
119.333333333	17.7692901231	-3000
119.343698176	17.75	-3000
119.333333333	17.7351190473	-3000
119.32542629	17.6666666667	-3000
119.27375297	17.5833333333	-3000
119.277989822	17.5	-3000
119.278186274	17.4166666667	-3000
119.265816055	17.3333333333	-3000
119.260324484	17.25	-3000
119.333333333	17.215336134	-3000
119.416666667	17.1760249554	-3000
119.423751687	17.1666666667	-3000
119.416666667	17.160590278	-3000
119.364680685	17.0833333333	-3000
119.333333333	17.0576309065	-3000
119.300950845	17	-3000
119.333333333	16.9727998773	-3000
119.367824075	16.9166666667	-3000
119.333333333	16.8489640107	-3000
119.31680123	16.8333333333	-3000
119.25	16.7560080091	-3000
119.246575341	16.75	-3000
119.244304185	16.6666666667	-3000
119.25	16.6058114047	-3000
119.25462963	16.5833333333	-3000
119.3069241	16.5	-3000
119.318532472	16.4166666667	-3000
119.326174388	16.3333333333	-3000
119.333333333	16.3078465064	-3000
119.343252799	16.25	-3000
119.333333333	16.234238452	-3000
119.297357927	16.1666666667	-3000
119.292849526	16.0833333333	-3000
119.296417053	16	-3000
119.309208105	15.9166666667	-3000
119.312145437	15.8333333333	-3000
119.321755519	15.75	-3000
119.315289805	15.6666666667	-3000
119.320721358	15.5833333333	-3000
119.333333333	15.5054585151	-3000
119.335108902	15.5	-3000
119.333333333	15.4950396825	-3000
119.32049198	15.4166666667	-3000
119.315267265	15.3333333333	-3000
119.313487117	15.25	-3000
119.333333333	15.1902751724	-3000
119.354553121	15.1666666667	-3000
119.385063206	15.0833333333	-3000
119.394894893	15	-3000
119.333333333	14.9373088678	-3000
119.315476189	14.9166666667	-3000
119.312379296	14.8333333333	-3000
119.331605693	14.75	-3000
119.333333333	14.7422161152	-3000
119.352699531	14.6666666667	-3000
119.333333333	14.6239648014	-3000
119.323300103	14.5833333333	-3000
119.328673999	14.5	-3000
119.333333333	14.4263285026	-3000
119.334071613	14.4166666667	-3000
119.355091013	14.3333333333	-3000
