97 27 3.9436
97 26.75 3.9436
97 26.5 3.9436
97 26.25 3.9436
97 26 3.9436
97 25.75 3.9436
97 25.5 3.9436
97 25.25 3.9436
97 25 3.9436
97 24.75 3.9436
97 24.5 3.9436
97 24.25 3.9436
97 24 3.9436
97 23.75 3.9436
97 23.5 3.9436
97 23.25 3.9436
97 23 3.9436
97 22.75 3.9436
97 22.5 3.9436
97 22.25 3.9436
97 22 3.9436
97.25 27 3.9436
97.25 26.75 4.9
97.25 26.5 4.9
97.25 26.25 4.9
97.25 26 4.9
97.25 25.75 4.9
97.25 25.5 4.9
97.25 25.25 4.9
97.25 25 4.9
97.25 24.75 4.9
97.25 24.5 4.9
97.25 24.25 4.9
97.25 24 4.9
97.25 23.75 4.9
97.25 23.5 4.9
97.25 23.25 4.9
97.25 23 4.9
97.25 22.75 4.9
97.25 22.5 4.9
97.25 22.25 4.9
97.25 22 3.9436
97.5 27 3.9436
97.5 26.75 4.9
97.5 26.5 4.9
97.5 26.25 4.9
97.5 26 4.9
97.5 25.75 4.9
97.5 25.5 4.9
97.5 25.25 4.9
97.5 25 4.9
97.5 24.75 4.9
97.5 24.5 4.9
97.5 24.25 4.9
97.5 24 4.9
97.5 23.75 4.9
97.5 23.5 4.9
97.5 23.25 4.9
97.5 23 4.9
97.5 22.75 4.9
97.5 22.5 4.9
97.5 22.25 4.9
97.5 22 3.9436
97.75 27 3.9436
97.75 26.75 4.79911
97.75 26.5 4.9
97.75 26.25 4.9
97.75 26 4.9
97.75 25.75 4.9
97.75 25.5 4.9
97.75 25.25 4.9
97.75 25 4.9
97.75 24.75 4.9
97.75 24.5 4.9
97.75 24.25 4.9
97.75 24 4.9
97.75 23.75 4.9
97.75 23.5 4.9
97.75 23.25 4.9
97.75 23 4.9
97.75 22.75 4.9
97.75 22.5 4.9
97.75 22.25 4.9
97.75 22 3.9436
98 27 3.9436
98 26.75 4.26488
98 26.5 4.3206
98 26.25 4.67689
98 26 4.9
98 25.75 4.9
98 25.5 4.9
98 25.25 4.9
98 25 4.9
98 24.75 4.9
98 24.5 4.9
98 24.25 4.9
98 24 4.9
98 23.75 4.9
98 23.5 4.9
98 23.25 4.9
98 23 4.9
98 22.75 4.9
98 22.5 4.9
98 22.25 4.9
98 22 3.9436
98.25 27 3.9436
98.25 26.75 2.77687
98.25 26.5 2.99166
98.25 26.25 3.78246
98.25 26 4.12623
98.25 25.75 4.37631
98.25 25.5 4.49213
98.25 25.25 4.84428
98.25 25 4.9
98.25 24.75 4.9
98.25 24.5 4.9
98.25 24.25 4.9
98.25 24 4.9
98.25 23.75 4.9
98.25 23.5 4.9
98.25 23.25 4.9
98.25 23 4.9
98.25 22.75 4.9
98.25 22.5 4.9
98.25 22.25 4.9
98.25 22 3.9436
98.5 27 3.9436
98.5 26.75 2.7
98.5 26.5 2.7
98.5 26.25 2.81168
98.5 26 3.30997
98.5 25.75 3.68074
98.5 25.5 4.03692
98.5 25.25 4.53923
