1304  3.6300  0.1225  034
98.5925  24.4245  100.0690  23.8785  3.5686
100.2540  25.6093  100.0690  23.8785  3.6675
98.8518  25.8317  100.0690  23.8785  3.6443
98.0709  24.0851  100.0690  23.8785  3.6346
99.3717  25.8854  100.0690  23.8785  3.5813
98.5197  25.0289  100.0690  23.8785  3.6107
100.1470  24.4348  99.9475  26.1088  3.5425
98.5197  25.0289  99.9475  26.1088  3.5549
98.5925  24.4245  99.9475  26.1088  3.5307
99.2454  24.0357  99.9475  26.1088  3.5437
98.0709  24.0851  99.9475  26.1088  3.5530
98.8518  25.8317  99.9475  26.1088  3.7268
100.0690  23.8785  99.9475  26.1088  3.6335
100.1470  24.4348  99.3717  25.8854  3.6159
99.2454  24.0357  98.5197  25.0289  3.7757
98.0709  24.0851  98.5197  25.0289  3.7067
100.2540  25.6093  98.5197  25.0289  3.6240
100.1470  24.4348  98.5197  25.0289  3.4866
99.3717  25.8854  98.5197  25.0289  3.6084
100.1470  24.4348  98.0709  24.0851  3.7135
99.2454  24.0357  98.0709  24.0851  3.7963
99.3717  25.8854  98.0709  24.0851  3.5621
100.2540  25.6093  98.8518  25.8317  3.5462
98.5197  25.0289  98.8518  25.8317  3.9389
100.1470  24.4348  98.8518  25.8317  3.5907
98.0709  24.0851  98.8518  25.8317  3.6369
99.2454  24.0357  98.8518  25.8317  3.8778
99.3717  25.8854  99.2454  24.0357  3.6113
98.0709  24.0851  100.2540  25.6093  3.5621
99.2454  24.0357  100.2540  25.6093  3.4776
100.1470  24.4348  100.2540  25.6093  3.6327
99.3717  25.8854  100.2540  25.6093  3.7523
100.1470  24.4348  98.5925  24.4245  3.6191
99.3717  25.8854  98.5925  24.4245  3.6162
100.2540  25.6093  98.5925  24.4245  3.5688
100.8080  24.4547  99.5713  23.7032  3.6667
100.7200  24.6420  99.5713  23.7032  3.4605
97.7857  24.1826  99.4801  25.0480  3.5264
97.9350  25.1078  99.4801  25.0480  3.6968
98.0252  24.4972  99.4801  25.0480  3.7298
100.2940  23.5890  99.4801  25.0480  3.7846
100.4690  24.5924  99.4801  25.0480  3.9455
100.8160  25.0395  99.4801  25.0480  3.7065
100.3690  24.1603  99.4801  25.0480  3.8616
98.2175  24.6619  99.4801  25.0480  3.7461
100.7810  24.1990  99.4801  25.0480  3.5395
100.7200  24.6420  99.4801  25.0480  3.6127
100.4120  23.9586  99.4801  25.0480  3.6902
99.5713  23.7032  99.4801  25.0480  3.4422
98.8783  23.5554  99.4801  25.0480  3.5507
99.8799  24.7112  97.6568  24.6108  3.8783
99.7242  24.0204  97.6568  24.6108  3.6123
100.8080  24.4547  97.6568  24.6108  3.7768
99.0268  23.8963  97.6568  24.6108  3.5716
99.9445  24.3191  97.6568  24.6108  3.5036
100.4120  23.9586  97.6568  24.6108  3.6146
100.7810  24.1990  97.6568  24.6108  3.6344
100.0910  24.8650  97.6568  24.6108  3.8244
100.8160  25.0395  97.6568  24.6108  3.7291
99.5529  24.2045  97.6568  24.6108  3.5645
100.3690  24.1603  97.6568  24.6108  3.5922
99.5713  23.7032  97.6568  24.6108  3.6677
100.7200  24.6420  97.6568  24.6108  3.7143
100.1990  24.7084  97.6568  24.6108  3.7241
100.2940  23.5890  97.6568  24.6108  3.5320
100.4690  24.5924  97.6568  24.6108  3.4751
100.7810  24.1990  99.5529  24.2045  3.7858
100.7200  24.6420  99.5529  24.2045  3.8758
100.8160  25.0395  99.5529  24.2045  3.5876
100.8080  24.4547  99.5529  24.2045  3.8719
100.2940  23.5890  99.5529  24.2045  3.9541
98.8350  24.6942  99.8316  25.8146  3.4689
100.5960  26.2944  99.8316  25.8146  3.9388
99.0384  24.3221  99.8316  25.8146  3.6107
100.7200  24.6420  99.8316  25.8146  3.6498
98.0252  24.4972  99.8316  25.8146  3.4820
100.3690  24.1603  99.8316  25.8146  3.8863
98.4849  24.7484  99.8316  25.8146  3.5041
97.7857  24.1826  99.8316  25.8146  3.5068
99.9445  24.3191  99.8316  25.8146  3.5142
98.3382  24.3368  99.8316  25.8146  3.5615
99.6235  24.5257  99.8316  25.8146  3.6026
97.6622  23.9027  99.8316  25.8146  3.4986
100.1990  24.7084  99.8316  25.8146  3.8685
100.8990  25.3230  99.8316  25.8146  3.5654
98.8431  25.1964  99.8316  25.8146  3.5398
99.5713  23.7032  99.8316  25.8146  3.7738
97.9699  24.7130  99.8316  25.8146  3.5482
99.8799  24.7112  99.8316  25.8146  3.7122
100.8960  25.5945  99.8316  25.8146  3.6920
98.3349  25.2175  99.8316  25.8146  3.5873
100.8160  25.0395  99.8316  25.8146  3.5621
97.6568  24.6108  99.8316  25.8146  3.6006
98.8634  25.4505  99.8316  25.8146  3.8591
99.7242  24.0204  99.8316  25.8146  3.6728
98.2175  24.6619  99.8316  25.8146  3.5416
99.6453  24.8769  99.8316  25.8146  3.7640
98.5651  24.1350  99.8316  25.8146  3.5215
98.5433  25.5117  99.8316  25.8146  3.6965
99.0268  23.8963  99.8316  25.8146  3.5744
99.5529  24.2045  99.8316  25.8146  3.7039
98.8783  23.5554  99.8316  25.8146  3.6155
100.2940  23.5890  99.8316  25.8146  3.6128
100.5230  25.0541  99.8316  25.8146  3.7881
100.7810  24.1990  99.8316  25.8146  3.6895
100.4120  23.9586  99.8316  25.8146  3.6251
97.7332  24.3999  99.8316  25.8146  3.4960
97.9350  25.1078  99.8316  25.8146  3.5896
100.8080  24.4547  99.8316  25.8146  3.6873
99.0325  24.5549  99.8316  25.8146  3.4686
98.0252  24.4972  100.5230  25.0541  3.6269
99.0268  23.8963  100.5230  25.0541  3.5937
99.0325  24.5549  100.5230  25.0541  3.6499
98.8634  25.4505  100.5230  25.0541  3.4687
97.6622  23.9027  100.5230  25.0541  3.6204
99.9445  24.3191  100.5230  25.0541  3.8169
98.3382  24.3368  100.5230  25.0541  3.6628
97.9699  24.7130  100.5230  25.0541  3.6935
97.9350  25.1078  100.5230  25.0541  3.5899
97.7332  24.3999  100.5230  25.0541  3.6336
98.6668  24.9037  100.5230  25.0541  3.6475
99.6235  24.5257  100.5230  25.0541  3.8443
98.8350  24.6942  100.5230  25.0541  3.7054
98.4849  24.7484  100.5230  25.0541  3.6389
99.2375  25.4847  100.5230  25.0541  3.5261
99.4801  25.0480  100.5230  25.0541  3.9562
99.5713  23.7032  100.5230  25.0541  3.6577
99.1663  24.7523  100.5230  25.0541  3.6962
98.5651  24.1350  100.5230  25.0541  3.6095
97.7857  24.1826  100.5230  25.0541  3.5566
100.4120  23.9586  100.5230  25.0541  3.6637
98.8431  25.1964  100.5230  25.0541  3.5661
100.2940  23.5890  100.5230  25.0541  3.7048
100.5960  26.2944  100.5230  25.0541  3.6117
98.3349  25.2175  100.5230  25.0541  3.5521
98.8783  23.5554  100.5230  25.0541  3.5744
99.3404  24.5305  100.5230  25.0541  3.7620
98.5433  25.5117  100.5230  25.0541  3.4818
97.6568  24.6108  100.5230  25.0541  3.6896
98.2175  24.6619  100.5230  25.0541  3.6591
99.6453  24.8769  100.4990  25.5666  3.6334
97.9699  24.7130  100.4990  25.5666  3.5689
98.3349  25.2175  100.4990  25.5666  3.6239
99.7242  24.0204  100.4990  25.5666  3.6041
98.0252  24.4972  100.4990  25.5666  3.5850
97.6622  23.9027  100.4990  25.5666  3.6312
99.5529  24.2045  100.4990  25.5666  3.5591
98.6668  24.9037  100.4990  25.5666  3.5604
97.7332  24.3999  100.4990  25.5666  3.6148
97.7857  24.1826  100.4990  25.5666  3.5652
100.7810  24.1990  100.4990  25.5666  3.6223
98.5433  25.5117  100.4990  25.5666  3.6298
98.8431  25.1964  100.4990  25.5666  3.7396
100.0910  24.8650  100.4990  25.5666  3.9155
99.5713  23.7032  100.4990  25.5666  3.5613
99.9445  24.3191  100.4990  25.5666  3.6429
99.4801  25.0480  100.4990  25.5666  3.7267
99.0268  23.8963  100.4990  25.5666  3.5276
100.2940  23.5890  100.4990  25.5666  3.7013
99.0325  24.5549  100.4990  25.5666  3.5370
98.8634  25.4505  100.4990  25.5666  3.6262
98.4849  24.7484  100.4990  25.5666  3.5714
98.8783  23.5554  100.4990  25.5666  3.5772
99.1663  24.7523  100.4990  25.5666  3.5365
100.1990  24.7084  100.4990  25.5666  3.7427
99.2375  25.4847  100.4990  25.5666  3.7577
98.3382  24.3368  100.4990  25.5666  3.6210
100.4120  23.9586  100.4990  25.5666  3.6177
99.6235  24.5257  100.4990  25.5666  3.5015
97.9350  25.1078  100.4990  25.5666  3.6312
98.2175  24.6619  100.4990  25.5666  3.5685
99.0384  24.3221  100.4990  25.5666  3.5219
97.6568  24.6108  100.4990  25.5666  3.6082
99.3404  24.5305  100.4990  25.5666  3.5250
98.8350  24.6942  100.4990  25.5666  3.4987
98.5651  24.1350  100.4990  25.5666  3.5638
100.8080  24.4547  100.4990  25.5666  3.9254
100.2940  23.5890  100.8990  25.3230  3.6613
99.8346  24.9958  100.8990  25.3230  3.9416
100.4120  23.9586  100.8990  25.3230  3.6694
99.0384  24.3221  100.8990  25.3230  3.6157
98.8431  25.1964  100.8990  25.3230  3.6109
99.6235  24.5257  100.8990  25.3230  3.5585
97.6568  24.6108  100.8990  25.3230  3.6323
99.0325  24.5549  100.8990  25.3230  3.5543
100.1990  24.7084  100.8990  25.3230  3.8252
98.2175  24.6619  100.8990  25.3230  3.6271
98.5433  25.5117  100.8990  25.3230  3.5565
98.3349  25.2175  100.8990  25.3230  3.6098
97.9350  25.1078  100.8990  25.3230  3.6650
98.8634  25.4505  100.8990  25.3230  3.5444
98.5651  24.1350  100.8990  25.3230  3.5880
99.4801  25.0480  100.8990  25.3230  3.7801
98.8783  23.5554  100.8990  25.3230  3.5441
99.5529  24.2045  100.8990  25.3230  3.5422
100.1000  25.9100  100.8990  25.3230  3.6849
99.1663  24.7523  100.8990  25.3230  3.7077
98.4849  24.7484  100.8990  25.3230  3.5970
98.0252  24.4972  100.8990  25.3230  3.5930
98.8350  24.6942  100.8990  25.3230  3.6373
100.7810  24.1990  100.8990  25.3230  3.6245
98.3382  24.3368  100.8990  25.3230  3.5589
99.2375  25.4847  100.8990  25.3230  3.5298
99.7242  24.0204  100.8990  25.3230  3.6828
97.6622  23.9027  100.8990  25.3230  3.6670
97.7332  24.3999  100.8990  25.3230  3.6081
97.9699  24.7130  100.8990  25.3230  3.6920
99.0268  23.8963  100.8990  25.3230  3.6075
100.0910  24.8650  100.8990  25.3230  3.9794
100.3690  24.1603  100.8990  25.3230  3.5526
99.8799  24.7112  100.8990  25.3230  3.7030
97.7857  24.1826  100.8990  25.3230  3.6491
99.5713  23.7032  100.8990  25.3230  3.5562
99.6453  24.8769  100.8990  25.3230  3.7359
98.6668  24.9037  100.8990  25.3230  3.6456
99.3404  24.5305  100.8990  25.3230  3.5665
100.7200  24.6420  98.5651  24.1350  3.7602
100.0910  24.8650  98.5651  24.1350  3.6054
99.5713  23.7032  98.5651  24.1350  3.6871
100.8160  25.0395  98.5651  24.1350  3.6315
100.2940  23.5890  98.5651  24.1350  3.5115
100.4120  23.9586  98.5651  24.1350  3.6325
99.7242  24.0204  98.5651  24.1350  3.5515
100.7810  24.1990  98.5651  24.1350  3.6656
100.8080  24.4547  98.5651  24.1350  3.7126
100.3690  24.1603  98.5651  24.1350  3.8665
100.1990  24.7084  98.5651  24.1350  3.6253
97.9699  24.7130  98.8634  25.4505  3.5339
100.8080  24.4547  98.8634  25.4505  3.5051
100.2940  23.5890  98.8634  25.4505  3.6819
100.4120  23.9586  98.8634  25.4505  3.6378
100.8160  25.0395  98.8634  25.4505  3.5302
100.1990  24.7084  98.8634  25.4505  3.5131
98.5651  24.1350  98.8634  25.4505  3.5974
97.6622  23.9027  98.8634  25.4505  3.5224
100.0910  24.8650  98.8634  25.4505  3.4704
100.4690  24.5924  98.8634  25.4505  3.5989
99.8799  24.7112  98.8634  25.4505  3.5727
99.7242  24.0204  98.8634  25.4505  3.6863
100.3690  24.1603  98.8634  25.4505  3.5936
99.6453  24.8769  98.8634  25.4505  3.7499
99.5529  24.2045  98.8634  25.4505  3.7301
100.7810  24.1990  98.8634  25.4505  3.5560
98.2175  24.6619  98.8634  25.4505  3.6282
99.9445  24.3191  98.8634  25.4505  3.5965
97.7857  24.1826  98.8634  25.4505  3.5942
99.6235  24.5257  98.8634  25.4505  3.7265
99.8346  24.9958  98.8634  25.4505  3.6808
99.5713  23.7032  98.8634  25.4505  3.6406
100.7200  24.6420  98.8634  25.4505  3.4967
100.8160  25.0395  100.2940  23.5890  3.7208
98.3349  25.2175  99.4137  25.2954  3.8697
97.6622  23.9027  99.4137  25.2954  3.5561
97.7332  24.3999  99.4137  25.2954  3.6032
100.4990  25.5666  99.4137  25.2954  3.8934
100.8960  25.5945  99.4137  25.2954  3.7846
100.4120  23.9586  99.4137  25.2954  3.7073
100.4690  24.5924  99.4137  25.2954  3.7159
100.8080  24.4547  99.4137  25.2954  3.4984
100.5230  25.0541  99.4137  25.2954  3.7102
98.8783  23.5554  99.4137  25.2954  3.6813
99.9445  24.3191  99.4137  25.2954  3.8079
100.7200  24.6420  99.4137  25.2954  3.5687
97.9699  24.7130  99.4137  25.2954  3.6320
98.2175  24.6619  99.4137  25.2954  3.6394
100.2940  23.5890  99.4137  25.2954  3.7321
99.5713  23.7032  99.4137  25.2954  3.4712
100.5960  26.2944  99.4137  25.2954  3.3851
97.7857  24.1826  99.4137  25.2954  3.3665
100.8160  25.0395  99.4137  25.2954  3.4769
100.7810  24.1990  99.4137  25.2954  3.4984
98.4849  24.7484  99.4137  25.2954  3.7043
100.1000  25.9100  99.4137  25.2954  3.7883
100.3690  24.1603  99.4137  25.2954  3.5903
100.0910  24.8650  97.6622  23.9027  3.3801
99.8799  24.7112  97.6622  23.9027  3.6676
100.8080  24.4547  97.6622  23.9027  3.7480
100.7810  24.1990  97.6622  23.9027  3.7691
100.4120  23.9586  97.6622  23.9027  3.8038
100.7200  24.6420  97.6622  23.9027  3.6938
99.0268  23.8963  97.6622  23.9027  3.6816
98.8783  23.5554  97.6622  23.9027  3.4880
100.2940  23.5890  97.6622  23.9027  3.7942
99.9445  24.3191  97.6622  23.9027  3.6624
100.8160  25.0395  97.6622  23.9027  3.6973
100.1990  24.7084  97.6622  23.9027  3.7784
99.7242  24.0204  97.6622  23.9027  3.7273
99.5529  24.2045  97.6622  23.9027  3.8600
97.9350  25.1078  99.9868  25.4893  3.5710
98.6668  24.9037  99.9868  25.4893  3.5937
98.0252  24.4972  99.9868  25.4893  3.6061
97.6568  24.6108  99.9868  25.4893  3.5106
97.7857  24.1826  99.9868  25.4893  3.6087
98.8431  25.1964  99.9868  25.4893  3.7506
100.8160  25.0395  99.9868  25.4893  3.7709
99.0384  24.3221  99.9868  25.4893  3.4933
100.7200  24.6420  99.9868  25.4893  3.6843
98.3382  24.3368  99.9868  25.4893  3.4928
98.4849  24.7484  99.9868  25.4893  3.4926
98.5433  25.5117  99.9868  25.4893  3.6040
99.1663  24.7523  99.9868  25.4893  3.6223
98.2175  24.6619  99.9868  25.4893  3.5497
100.7810  24.1990  99.9868  25.4893  3.7005
99.7242  24.0204  99.9868  25.4893  3.6920
100.8990  25.3230  99.9868  25.4893  3.8336
99.6235  24.5257  99.9868  25.4893  3.6413
99.5713  23.7032  99.9868  25.4893  3.7920
98.8634  25.4505  99.9868  25.4893  3.7324
100.2940  23.5890  99.9868  25.4893  3.5973
99.5529  24.2045  99.9868  25.4893  3.6192
98.5651  24.1350  99.9868  25.4893  3.5896
100.3690  24.1603  99.9868  25.4893  3.7148
97.6622  23.9027  99.9868  25.4893  3.5724
98.8350  24.6942  99.9868  25.4893  3.5435
100.8080  24.4547  99.9868  25.4893  3.6785
100.5960  26.2944  99.9868  25.4893  3.5442
100.4120  23.9586  99.9868  25.4893  3.7260
98.8783  23.5554  99.9868  25.4893  3.6546
98.3349  25.2175  99.9868  25.4893  3.6849
97.7332  24.3999  99.9868  25.4893  3.5604
97.9699  24.7130  99.9868  25.4893  3.5317
99.3404  24.5305  99.9868  25.4893  3.5300
99.0268  23.8963  99.9868  25.4893  3.5741
99.5529  24.2045  99.4300  26.2040  3.5789
98.4849  24.7484  99.4300  26.2040  3.5123
100.1990  24.7084  99.4300  26.2040  3.6143
100.8160  25.0395  99.4300  26.2040  3.5367
99.9868  25.4893  99.4300  26.2040  3.8546
100.3200  25.2400  99.4300  26.2040  3.6023
99.9445  24.3191  99.4300  26.2040  3.5438
100.4900  25.3500  99.4300  26.2040  3.5292
98.2175  24.6619  99.4300  26.2040  3.4801
99.4801  25.0480  99.4300  26.2040  3.5692
98.6668  24.9037  99.4300  26.2040  3.6015
100.8960  25.5945  99.4300  26.2040  3.4264
100.7810  24.1990  99.4300  26.2040  3.6700
