97 27 0 0
97 26.75 0 0
97 26.5 0 0
97 26.25 0 0
97 26 0 0
97 25.75 0 0
97 25.5 0 0
97 25.25 0 0
97 25 0 0
97 24.75 0 0
97 24.5 0 0
97 24.25 0 0
97 24 0 0
97 23.75 0 0
97 23.5 0 0
97 23.25 0 0
97 23 0 0
97 22.75 0 0
97 22.5 0 0
97 22.25 0 0
97 22 0 0
97.25 27 0 0
97.25 26.75 0 0
97.25 26.5 0 0
97.25 26.25 0 0
97.25 26 0 0
97.25 25.75 0 0
97.25 25.5 0 0
97.25 25.25 0 0
97.25 25 0 0
97.25 24.75 0 -2e-05
97.25 24.5 0 -4e-05
97.25 24.25 0 -1e-05
97.25 24 0 0
97.25 23.75 0 0
97.25 23.5 0 0
97.25 23.25 0 0
97.25 23 0 0
97.25 22.75 0 0
97.25 22.5 0 0
97.25 22.25 0 0
97.25 22 0 0
97.5 27 0 0
97.5 26.75 0 0
97.5 26.5 0 1e-05
97.5 26.25 0 1e-05
97.5 26 0 0
97.5 25.75 0 -1e-05
97.5 25.5 0 0
97.5 25.25 0 8e-05
97.5 25 0 0.00043
97.5 24.75 0 -0.00021
97.5 24.5 0 -0.00128
97.5 24.25 0 -0.00039
97.5 24 0 -0.00049
97.5 23.75 0 2e-05
97.5 23.5 0 2e-05
97.5 23.25 0 1e-05
97.5 23 0 1e-05
97.5 22.75 0 1e-05
97.5 22.5 0 1e-05
97.5 22.25 0 0
97.5 22 0 0
97.75 27 0 0
97.75 26.75 0 0
97.75 26.5 0 3e-05
97.75 26.25 0 5e-05
97.75 26 0 3e-05
97.75 25.75 0 0
97.75 25.5 0 -8e-05
97.75 25.25 0 -0.0001
97.75 25 0 0.00313
97.75 24.75 0 0.00133
97.75 24.5 0 -0.0024
97.75 24.25 0 0.00121
97.75 24 0 -8e-05
97.75 23.75 0 0.00094
97.75 23.5 0 7e-05
97.75 23.25 0 2e-05
97.75 23 0 1e-05
97.75 22.75 0 1e-05
97.75 22.5 0 1e-05
97.75 22.25 0 0
97.75 22 0 0
98 27 0 0
98 26.75 0 0
98 26.5 0 7e-05
98 26.25 0 0.00013
98 26 0 0.00014
98 25.75 0 -2e-05
98 25.5 0 -0.00085
98 25.25 0 -0.00208
98 25 0 0.00362
98 24.75 0 0.00189
98 24.5 0 0.00045
98 24.25 0 0.00141
98 24 0 0.00209
98 23.75 0 0.0016
98 23.5 0 -0.00014
98 23.25 0 0
98 23 0 1e-05
98 22.75 0 1e-05
98 22.5 0 1e-05
98 22.25 0 0
98 22 0 0
98.25 27 0 0
98.25 26.75 0 0
98.25 26.5 0 0.00015
98.25 26.25 0 0.00034
98.25 26 0 0.00048
98.25 25.75 0 0.00015
98.25 25.5 0 -0.00016
98.25 25.25 0 0.00251
98.25 25 0 0.00036
98.25 24.75 0 -0.0018
98.25 24.5 0 0.00247
98.25 24.25 0 0.00174
98.25 24 0 0.00115
98.25 23.75 0 -0.00118
98.25 23.5 0 -0.00084
98.25 23.25 0 -8e-05
98.25 23 0 -1e-05
98.25 22.75 0 1e-05
98.25 22.5 0 1e-05
98.25 22.25 0 0
98.25 22 0 0
98.5 27 0 0
98.5 26.75 0 0
98.5 26.5 0 0.00033
98.5 26.25 0 0.00138
