98.0301505705, 29.1130006554
98.0892852815, 29.0412097107
98.1878431333, 28.9335232937
98.227266274, 28.8078891406
98.3061125554, 28.7181504597
98.345535696, 28.6104640427
98.4046704071, 28.5027776257
98.4638051181, 28.3771434726
98.5229398292, 28.2874047917
98.5623629699, 28.1797183747
98.5820745402, 28.0540842215
98.6214976809, 27.9284500684
98.6412092513, 27.8028159152
98.7003439623, 27.6592340259
98.7791902437, 27.5874430812
98.8777480954, 27.4438611919
98.9171712361, 27.3002793025
98.9171712361, 27.1566974132
98.9368828065, 27.03106326
98.9368828065, 26.8695336345
98.9763059472, 26.708004009
98.9565943768, 26.5644221197
98.9763059472, 26.4387879665
98.9565943768, 26.2952060771
98.9368828065, 26.169571924
98.8974596658, 26.061885507
98.8777480954, 25.95419909
98.8777480954, 25.8106172006
98.8974596658, 25.6670353113
98.8777480954, 25.5414011581
98.9111612334, 25.4171191225
98.9246245012, 25.2945336695
98.9111612334, 25.1106554901
98.9784775723, 24.9512944013
98.9784775723, 24.8409674936
98.8842346979, 24.7306405859
98.7226754846, 24.6448307689
98.6015060746, 24.5835380424
98.520726468, 24.5590209518
98.4130203258, 24.4609525894
98.3053141836, 24.3751427724
98.1706815058, 24.2893329553
98.0629753636, 24.2280402288
97.982195757, 24.1667475023
 NAN NAN
98.609853684, 29.0877812123
98.6307032414, 29.0118456376
98.6515527988, 28.9169261693
98.6828271349, 28.8314986478
98.7036766923, 28.76505502
98.7245262497, 28.6891194454
98.7453758071, 28.5847080302
98.7870749219, 28.4897885619
98.8287740367, 28.3853771468
98.8808979302, 28.2904576785
98.9121722663, 28.205030157
98.9538713811, 28.091126795
98.9747209385, 27.9867153799
99.026844832, 27.9012878584
99.0372696107, 27.7873844964
99.0789687255, 27.6734811345
99.0998182829, 27.5690697193
99.131092619, 27.4551663573
99.1727917338, 27.360246889
99.2040660699, 27.2463435271
99.1983798269, 27.1528622325
99.2405001449, 27.0569839817
99.2615603039, 26.970693556
99.2615603039, 26.855639655
99.2720903834, 26.7214101038
99.2720903834, 26.6063562029
99.2405001449, 26.4721266517
99.2299700654, 26.3474849256
99.2299700654, 26.2516066748
99.2089099064, 26.1077892986
99.2299700654, 25.9927353976
99.2615603039, 25.8680936716
99.2931505424, 25.7434519455
99.3247407809, 25.6379858696
99.3879212578, 25.5421076188
99.4195114963, 25.4174658927
99.4405716553, 25.3024119917
99.4826919733, 25.2352972162
99.5564025297, 25.1777702657
99.5985228477, 25.0914798399
99.6406431657, 25.0339528894
99.7248838016, 24.986013764
99.7880642786, 24.8997233383
99.8617748351, 24.8326085627
99.946015471, 24.7942572624
100.030256107, 24.7750816122
100.103966663, 24.7654937872
100.188207299, 24.7559059621
100.293508094, 24.7559059621
100.367218651, 24.746318137
100.440929207, 24.746318137
100.504109684, 24.6792033614
100.535699923, 24.6216764109
100.567290161, 24.5833251106
100.577820241, 24.5066225099
100.5988804, 24.4203320842
100.58835032, 24.3819807839
100.556760082, 24.2861025331
100.556760082, 24.2285755826
100.504109684, 24.161460807
100.461989366, 24.0655825562
100.37774873, 23.9792921304
100.356688571, 23.8738260545
100.325098333, 23.7683599786
100.304038174, 23.6533060777
100.251387776, 23.5574278268
100.230327617, 23.4519617509
100.219797538, 23.3848469754
100.209267458, 23.2793808995
100.230327617, 23.1739148236
100.209267458, 23.0876243978
100.251387776, 23.0013339721
100.304038174, 22.9150435464
100.335628412, 22.8383409457
100.367218651, 22.7616383451
100.461989366, 22.6753479193
100.546230002, 22.6274087939
100.619940559, 22.5794696685
100.672590956, 22.4835914177
100.735771433, 22.4356522923
100.841072228, 22.3781253418
100.914782784, 22.3301862164
100.99902342, 22.2918349161
101.072733977, 22.282247091
101.167504692, 22.1863688402
101.251745328, 22.1576053649
101.388636362, 22.0809027643
101.504467236, 22.052139289
101.599237952, 22.0137879887
 NAN NAN
99.2360764986, 29.1008212927
99.246636267, 29.0046727192
99.246636267, 28.9373687177
99.2043971934, 28.8700647162
99.1727178882, 28.7643012853
99.193837425, 28.6873824264
99.193837425, 28.5527744235
99.2255167302, 28.4566258499
99.2255167302, 28.3412475616
99.2360764986, 28.2354841307
99.2360764986, 28.1008761277
99.3099948774, 27.9951126968
99.4050327929, 27.8893492659
99.4050327929, 27.7739709776
99.4261523297, 27.6393629747
99.4683914033, 27.514369829
99.5000707085, 27.3893766834
99.5211902453, 27.2739983951
99.5739890873, 27.1490052495
99.5739890873, 27.0240121039
99.6162281608, 26.8894041009
99.6690270028, 26.7644109553
99.700706308, 26.6298029523
99.7429453816, 26.4951949493
NAN NAN
100.01749936, 26.1394452272
100.091417739, 26.081756083
100.133656812, 26.0144520815
100.186455654, 25.9086886506
100.260374033, 25.8413846491
100.323732643, 25.7452360756
100.376531485, 25.6010132152
100.439890096, 25.5337092137
100.461009632, 25.4375606402
100.492688938, 25.3702566387
100.54548778, 25.3029526372
100.587726853, 25.2548783504
100.651085464, 25.1395000622
100.735563611, 25.0241217739
100.820041758, 24.9664326298
100.893960137, 24.8991286283
100.978438284, 24.8318246268
101.052356663, 24.7741354826
101.084035968, 24.6972166238
101.179073883, 24.620297765
101.189633652, 24.5433789061
101.274111799, 24.4953046193
101.348030178, 24.4472303326
101.40082902, 24.3414669016
101.46418763, 24.2741629001
101.52754624, 24.2068588987
101.569785314, 24.1491697545
101.612024388, 24.081865753
101.685942766, 24.0145617515
101.770420914, 23.9664874648
101.833779524, 23.8703388912
101.897138134, 23.8222646044
101.99217605, 23.7645754603
102.129453039, 23.6684268867
102.182251881, 23.6107377426
